T\P	p	t	k	b	d	g	C	J	f	v	T	D	s	z	S	Z	h	m	n	N	l	r	j	w	?	i	I	E	&	a	O	U	u	9	0	^	1	2	3	4	5	6	7	8	.
n	1.00	0.66	0.66	0.52	1.00	1.00	1.00	1.00	0.66	0.66	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.11	0.00	0.19	0.31	0.31	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10
N	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.52	0.14	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
l	1.00	1.00	0.66	1.00	0.44	1.00	1.00	1.00	1.00	0.44	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.23	1.00	0.00	0.13	0.25	0.25	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.08
r	0.52	0.52	1.00	0.66	0.29	0.52	1.00	0.38	1.00	0.44	1.00	1.00	0.44	1.00	1.00	1.00	1.00	0.66	0.29	1.00	0.11	0.00	0.66	0.14	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.04
j	1.00	1.00	1.00	0.66	1.00	1.00	1.00	0.27	1.00	1.00	1.00	1.00	1.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.38	0.00	0.66	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.09
w	1.00	1.00	1.00	0.52	1.00	0.66	1.00	0.66	0.34	0.08	1.00	1.00	1.00	1.00	1.00	1.00	0.66	1.00	0.52	1.00	0.44	0.21	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.13
?	1.00	0.17	0.66	1.00	0.12	0.66	0.66	1.00	0.66	1.00	1.00	1.00	0.52	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.44	1.00	1.00	0.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.34
i	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.00	0.15	0.29	0.30	0.30	0.30	0.40	0.30	0.40	0.26	0.40	0.29	0.30	0.40	0.28	0.40	0.29	0.40	0.40	0.29
I	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.10	0.00	0.21	0.26	0.28	0.30	0.30	0.29	0.30	0.00	0.29	0.28	0.40	0.40	0.28	0.29	0.29	0.30	0.40	0.11
E	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.28	0.20	0.00	0.19	0.27	0.30	0.30	0.30	0.29	0.23	0.26	0.30	0.30	0.40	0.26	0.29	0.29	0.29	0.40	1.00
&	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.30	0.28	0.20	0.00	0.18	0.29	0.40	0.30	0.29	0.24	0.28	0.29	0.30	0.40	0.27	0.30	0.40	0.29	0.40	1.00
