no.	pun	target	pun phon	target phon	idiomaticity	page no.	grammaticality	remark	dialect	POS pun	POS target	x	sum cost	sum/phon.	stress shift	syllable no.
965	three	tree	Tri	tri	quote a partridge in a pear tree	230	B			CRD	NN1	Q+	0.2	0.06666667		
966	tin	thin	tIn	TIn	idiom the thin red line	232	B			NN1	AJ0	E+	0.18	0.06		
967	tongue	kung (fu)	t^N	kUN	coll. kung fu	233	B	just morpheme		NN1	UNC	F	0.44	0.14666666		
968	totter	tartar	ta.?0r	tar?0r	coll. tartar sauce	235	B			NN1	NN1	R	0.04	0.006666667		
969	tour	whore	t8r	hOr	coll. whore house	234	B			NN1	NN1	R	0.73	0.24333334		
970	tram	damn	tr&m	d.&m	idiom one damn thing after another	235	B			NN1	AJ0	I+	0.14	0.035		
971	trip-tease	strip-tease	.trIptiz	strIptiz	coll. striptease	236	B			NN1	NN1	R	0.1	0.0125		
972	troll	droll	tr5l	dr5l	idiom a droll sense of humor	236	B			NN1	AJ0	E+	0.11	0.0275		
973	tweet	sweet	twit	swit	coll. sweet music	238	B			NN1	AJ0	C	0.44	0.11		
974	vamp	lamp	v&mp	l&mp	coll. lamp light	242	B			NN1	NN1	R	0.44	0.11		
975	vest	vast	vEst	v&st	coll. vast mistake	244	B			NN1	AJ0	C	0.2	0.05		
976	vice	nice	v1s	n1s	idiom what's a nice girl like you doing ...	245	B			NN1	AJ0	E+	0.66	0.22		
977	visa	these are	vis0.	Dis0r		246	ne	what?		NN1	DT0 VBB		0.42	0.084		
978	vise	wise	v1s	w1z	coll. wise guy	246	B			NN1	AJ0	C	0.15	0.05		
979	vowel	bowel	v20l	b20l	coll. bowel movement	247	B			NN1	NN1	R	0.44	0.11		
980	whore	horror	hOr..	hOr0r	coll. horror show	253	B			NN1	NN1	R	0.11	0.022		-1
981	yard	hard	jard	hard	idiom it's a hard life	259	B			NN1	AJ0	E+	0.44	0.11		
982	yarn	darn	jarn	darn	coll. any damn thing	259	B			NN1	AJ0	I	1	0.25		
983	bust	bus	bast	bas.	coll. bus stop	39	B			NN1	NN1	R	0	0		
984	pun	pen	pan	pEn	coll. pen pal	184	B			NN1	NN1	R	0	0		
985	bourbon	urban	b9rb0n	.9rb0n	coll. urban life	199	B			NN1	AJ0	C	0	0		
986	sheik	silk	Si.k	sIlk	coll. silk veil	209	B	good example for much phon. dist. and collocation recoverability		NN1	NN1	R	0	0		
987	Rhodes scholared	rose colored	r5dskal0rd	r5.zk^l0rd	idiom rose-colored glasses	196	B			NP0 NN1	AV0 AJ0	I+	0.39	0.039		
988	cane chew	can't you	k4nCU	k&nC0	title can't you hear me calling, ...	42	T			NN0 NN1	VM0 XX0 PNP	Q+	0.56	0.112		
989	highway cop	I wake up	h1w4kap	.1w4k^p		111	T			NN0 NN1	PNP VVB AVP	P	0.29	0.04142857		
990	liner pier	lyin' up here	l1.n0rp6r	l1In0.p6r		139	T			NNO NN1	VVG P AV0		0.14	0.015555556		
991	H heaver	achiever	4Chiv0r	0C.iv0r	coll. late achiever	105	B			ZZ0 NN1	NN1	C	0.36	0.05142857		
992	opera-tunist	opportunist	ap0r0tunIst	ap0r.tunIst		236	B	see tune only morpheme		NN0 NN1	NN1		0.04	0.0036363637		
993	Oxo-gin	oxygen	aks0JIn	aksIJ0n	coll. breathe oxygen	167	B			NP0 NN1	NN1	I	0.01	0.0014285714		
994	knock need	knock knee	naknid	nakni.	coll. knock knee	158	B	WS		NN0 NN1	NN0 NN1	R	0.11	0.018333333		
995	Nostrum Damus	Nostradamus	nastr0md4m0s	nastr0.d4m0s		161	B			UNC NP0	NP0		0.14	0.011666667		
996	Umber Ella	umbrella	^mb0rEl0	^mb.rEl0	_def.	239	ne			NN0 NP0	NN1		0.04	0.005		1
997	clip-sew	calipso	k.lIps5	k0lIps5	coll. calipso music	49	B			NN1	NN1	R	0.07	0.01		-1
998	clock	cock	klak	k.ak	coll. cocksucker	49	B	I knew it was out there		NN1	NN1	R	0.06	0.015		
999	clods	gods	kladz	g.adz	idiom chariot of the gods	49	B			NN1	NN1	I+	0.17	0.034		
1000	bugger	beggar	b^g0r	bEg0r	title beggar's opera	37	B			NN1 POS	NN1 POS	Q+	0.26	0.052		
1001	harpies	Harper's	harpI.z	harp0rz	title Harper's Bazaar	107	B			NN1	NP0 POS	Q+	0.05	0.007142857		
1002	sheik	sheep	Sik	Sip	idiom wolf in sheep's clothing	209	B			NN1 POS	NN1 POS	E+	0.23	0.07666667		
1003	teensters'	teamsters'	tinst0rz	timst0rz	coll. teamsters' union	228	B			NN1 POS	NN1 POS	R	0.14	0.0175		
1004	ale	all	4l	Ol	proverb all's well that ends well	10	B	see ale-hell		NN1	NN1	S+	0.29	0.145		
1005	artichoke	architect	ar?IC5k.	arkItEkt		16	B	what?		NN1	NN1		1.4	0.175		
1006	bitch	stitch	.bIC	stIC	proverb a stitch in time saves nine	30	B			NN1	NN1	S+	0.54	0.135		
1007	bloat	boat	bl5t	b.5t	title row, row, row your boat	31	ne	env. adjusted		NN1	NN1	Q+	0.06	0.015		
1008	bride	bread	br1d	brEd	idiom which side one's bread is buttered on	25	B	see barter		NN1	NN1	E+	0.3	0.075		
1009	burp	bird	b9rp	b9rd	idiom a little bird told me	38	B			NN1	NN1	S+	0.44	0.11		
1010	conversation	conservation	kanv0rs4S0n	kans0rv4S0n		54	B	metathesis!		NN1	NN1		1.66	0.1509091		
1011	cranes	rain	kr4nz	.r4n.	title the rain in spain ...	57	B	sg-pl adjustment		NN2	NN1	Q+	0.35	0.07		
1012	cut	cup	k^t	k^p	idiom my cup runneth over	61	B			NN1	NN1	Q+	0.31	0.10333333		
1013	dace	days	d4s	d4z	idiom happy days are here again	62	B			NN1	NN2	Q+	0.07	0.023333333		
1014	denier	then you	d0n.6r	D0nj0.		65	B			NN1	CJS PNP		0.47	0.07833333	l	
